Subject,Chapter_Number,Chapter_Name,Tasks,Batch
MATHS,11,GEOMETRIC PROGRESSION,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,12,REFLECTION,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,13,SECTION  AND MID POINT FORMULA,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,14,EQUATION OF A STRAIGHT LINE,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,15,SIMILARITY,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,16,LOCUS,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,17,CIRCLES,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,18,CONSTRUCTIONS,SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,19,MENSURATION,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,20,TRIGONOMETRY IDENTITIES,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
